source_image_id,name,width,height,status,action,reason,decision_source,annotation_count,eligible_annotation_count,zero_instance,group_id
0CHrBSJAmY24quC0QSYA,tu_px_09163_9227531.jpg,1880,1253,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,2,2,false,singleton-0CHrBSJAmY24quC0QSYA
0OEuk7X9WrM64hqQbedA,px_0011_28196526.jpg,1880,1253,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,3,3,false,singleton-0OEuk7X9WrM64hqQbedA
0Orp0pwbiOU0MIg0a28r,tu_px_09159_30572791.jpg,975,1300,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,1,1,false,singleton-0Orp0pwbiOU0MIg0a28r
0TCko19jiO1CcXl2vqsd,premium_photo-1663054541741-0276bdf1808b.jpg,1600,1067,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,12,12,false,singleton-0TCko19jiO1CcXl2vqsd
0ajF0d1eniugei3qRqvl,px_0016_9258892.jpg,1826,1300,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,4,4,false,singleton-0ajF0d1eniugei3qRqvl
0ejTKqobP0Z7bG7iS1dF,premium_photo-1680658081728-5ed42001028d.jpg,1600,1067,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,3,3,false,singleton-0ejTKqobP0Z7bG7iS1dF
0fMloNWonp8DEQff6L2n,photo-1581091212991-8891c7d4bd9b.jpg,1600,2399,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,3,3,false,singleton-0fMloNWonp8DEQff6L2n
0g77gkQGLuqJIxRBDCMC,photo-1769422837020-ea7251eb708d.jpg,1600,2844,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,2,2,false,singleton-0g77gkQGLuqJIxRBDCMC
0sRAfq8grYqMA2xuCHP6,premium_photo-1663090296504-9ac2d924744a.jpg,1600,1067,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,12,12,false,singleton-0sRAfq8grYqMA2xuCHP6
0vIelRhK7EUfEcEMkBV0,photo-1694521787193-9293daeddbaa.jpg,1600,1069,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,9,9,false,singleton-0vIelRhK7EUfEcEMkBV0
1BVaqcupKpVSmlh5tncK,photo-1617118600610-dcdf743b3dfc.jpg,1600,1067,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,1,1,false,singleton-1BVaqcupKpVSmlh5tncK
1XJO4jpZ1EjuFK7M5WzU,premium_photo-1721460167347-c25682fa8511.jpg,1600,1067,ELIGIBLE,KEEP_IMAGE,IN_DOMAIN_ANNOTATED_SOURCE_IMAGE,PHASE_5A_CANONICAL_SNAPSHOT,1,1,false,singleton-1XJO4jpZ1EjuFK7M5WzU
