group_id,provisional_split
manual_dup_001,test
manual_dup_002,validation
manual_dup_003,validation
manual_dup_004,train
manual_dup_005,train
manual_dup_006,train
manual_dup_007,train
manual_dup_008,train
manual_dup_009,validation
manual_dup_010,train
manual_dup_011,train
singleton-0CHrBSJAmY24quC0QSYA,train
singleton-0OEuk7X9WrM64hqQbedA,train
singleton-0Orp0pwbiOU0MIg0a28r,train
singleton-0TCko19jiO1CcXl2vqsd,train
singleton-0ajF0d1eniugei3qRqvl,test
singleton-0ejTKqobP0Z7bG7iS1dF,train
singleton-0fMloNWonp8DEQff6L2n,train
singleton-0g77gkQGLuqJIxRBDCMC,train
singleton-0sRAfq8grYqMA2xuCHP6,train
singleton-0vIelRhK7EUfEcEMkBV0,train
singleton-1BVaqcupKpVSmlh5tncK,train
singleton-1XJO4jpZ1EjuFK7M5WzU,train
singleton-1dnS0NtMgQN35Eb4GNTe,train
singleton-1zBF8eW6TRm4IBAb3Kwv,train
singleton-2Qh4yEmcE64JRJXTM10C,train
singleton-2estUvSXu4usdh4plcAm,test
singleton-2qD9FzEoqf4Rsihf6kf7,train
singleton-35kJU6sOxBnL8qucfgHx,train
singleton-3INKyAoeOEbPQKuxINbX,train
singleton-3wdTWWyA3a9YrQ9EfLc9,train
singleton-4XETInqs70Y4H9ry55k3,train
singleton-4ajEucaVD61th8hqHdux,test
singleton-4baqXpqm2eXB2CHZWkM9,test
singleton-4ezyg6KhKI36ubNpMX1z,train
singleton-5fj7MBBP6mq9NtLfV51m,train
singleton-5p4hDwmBcrn3EI04GmlA,test
singleton-5tvMIxMJkb5Hp9bD8hBw,train
singleton-5xqkoD8kcbQ7JWIll2KF,train
singleton-5z8XJfD2gto4gT3gwPAK,train
singleton-60TqAIaOldetEAmBqqMX,train
singleton-619mdz3TlcOedTGFv0za,train
singleton-62UoaBv0beM5cBLCubmT,train
singleton-6B8gSWbJYQFfVadXSWxT,train
singleton-6R3F7WoZUjSohZEFSgXr,train
singleton-6ZHpQueANukCh7UeL4s5,train
singleton-6fMvy2k97BSY0a3P9Fbg,train
singleton-6hEWEvuUeZhYU514UX1O,test
singleton-6lWV6Qw0w487DgkyyVX9,validation
singleton-6nPmmdeGSmklKpfLZ04I,train
singleton-6wbVR0oBIJ7D6xM1XfYh,train
singleton-6yISFDLTaSrGRErrVKUw,train
singleton-6zcUFRrk82e1KtW3sxk6,test
singleton-70XMYeBZO8t3mAXtu9ke,train
singleton-77sSza06NSDiTCn9F0sb,train
singleton-7Qa4QokXVymOY6hvk9CF,validation
singleton-7VMQ21x6vDuAvoY6Ku2F,train
singleton-7ZBa5LYXLSg2gd59x0Nl,train
singleton-7aLiOz0V7KPglydbD5H7,test
